Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5
-0.09718084,-0.15671657,-0.186554,-2.2070792,-4.0547094,3.9783177
-2.716488,0.0,0.0,1.0093677,0.0,0.0
0.8238349,-1.2108425,0.0,-1.2917107,-4.3253493,0.0
-0.77629066,0.0,0.0,-5.665979,0.0,0.0
-1.0770802,0.909766,0.0,8.545576,4.072526,0.0
-1.596988,0.0,0.0,0.0,0.0,0.0
0.32309446,0.19687752,-0.104836896,-0.6519489,0.80700594,0.24576283
0.033205863,-0.031243855,0.0032247007,0.31730103,-9.951813,2.9838624
-2.5682454,0.0,0.0,0.10603398,0.0,0.0
-0.09864833,-0.15986034,-0.24246833,0.8491616,-3.7548714,3.668864
-2.6598501,0.0,0.0,1.2508936,0.0,0.0
0.8429498,-1.2078068,0.0,1.1737839,-6.596138,0.0
-0.86186033,0.0,0.0,-0.16160727,0.0,0.0
